dh5r9-SbN8xJ76XvnayWLQ,Giano Restaurant,Italian,"'126 E 7th St, New York, NY 10009'",40.72622566,-73.9840574,4.5,614,$$,26:09.5
qgY41g_eg0eNzewCXmKcaA,Lillo Cucina Italiana,Italian,"'331 Henry St, Brooklyn, NY 11201'",40.69023,-73.99634,5,152,$$,26:09.5
Vs8kQ4R381y27AH018gLpg,Supper,Italian,"'156 E 2nd St, New York, NY 10009'",40.7229,-73.98527,4,1316,$$,26:09.5
WG639VkTjmK5dzydd1BBJA,Rubirosa,Italian,"'235 Mulberry St, New York, NY 10012'",40.722766,-73.996233,4.5,2332,$$,26:09.5
rp8S7scxOkVVeG7dNneMGQ,L'Artusi,Italian,"'228 W 10th St, New York, NY 10014'",40.73372,-74.00513,4.5,1885,$$$,26:09.5
hdiuRS9sVZSMReZm4oV5SA,Da Andrea,Italian,"'35 W 13th St, New York, NY 10011'",40.736218,-73.99597,4,788,$$,26:09.5
yZJbealagfujEkgesAl2hA,Lupa,Italian,"'170 Thompson St, New York, NY 10012'",40.7276,-74.000045,4,1556,$$$,26:09.5
J0OeDwmh5JBhid0A5GvltA,Il Corallo Trattoria,Italian,"'176 Prince St, New York, NY 10012'",40.7262073,-74.0018919,4,980,$$,26:09.5
74zaTegd7fnS6llTesn_Dg,Fragole Ristorante,Italian,"'394 Court St, Brooklyn, NY 11231'",40.68087,-73.99688,4.5,358,$$,26:09.5
IErfGS0DASSJfYU73m0Sqg,Malatesta Trattoria,Italian,"'649 Washington St, New York, NY 10014'",40.73285,-74.00847,4,1250,$$,26:09.5
OCTiJwvjoK81WoDwsTkFvA,Paesano of Mulberry Street,Italian,"'136 Mulberry St, New York, NY 10013'",40.718554,-73.997447,4,974,$$,26:09.5
qBGKigOGn_flCx1apxPzlA,Piccola Cucina Osteria,Italian,"'196 Spring St, New York, NY 10012'",40.72506,-74.00322,4.5,576,$$,26:09.5
#NAME?,Cecconi's Dumbo,Italian,"'55 Water St, Brooklyn, NY 11201'",40.70330633,-73.99165496,3.5,750,$$$,26:09.5
16ZnHpuaaBt92XWeJHCC5A,Olio e Pi?,Italian,"'3 Greenwich Ave, New York, NY 10014'",40.733826,-73.999852,4.5,2405,$$,26:09.5
a4WZUTKn90dOkeY38JHNjQ,Aurora,Italian,"'70 Grand St, Brooklyn, NY 11249'",40.715621,-73.964757,4,657,$$,26:09.5
kr5fRwdHtVwPPwSJxm9Fkg,Il Posto Accanto,Italian,"'190 E 2nd St, New York, NY 10009'",40.72238,-73.98403,4.5,236,$$$,26:09.5
nHMDOIX32dGbfpuNUwsLNQ,AlMar,Italian,"'111 Front St, Brooklyn, NY 11201'",40.702662,-73.989177,4,448,$$,26:09.5
5TX0X8w5ssIACU_pnBEq6g,Tony's Di Napoli,Italian,"'147 W 43rd St, New York, NY 10036'",40.75641,-73.98547,4,2108,$$,26:09.5
9K0run3oObR0YT4jaOEvWg,L'Angeletto,Italian,"'327 2nd Ave, New York, NY 10003'",40.73541417,-73.982956,4.5,41,$$,26:09.5
hpRrYBbKUqv8ewFKDjbjoA,Gersi,Italian,"'316 Court St, Brooklyn, NY 11231'",40.683438,-73.995711,4.5,280,$$,26:09.5
DoSU8IPq-Py_YV3kYmXPfQ,Trattoria Trecolori,Italian,"'254 West 47th St, New York, NY 10036'",40.75998,-73.98671,4,2353,$$,26:09.5
1ZKbUeFAs0ltSnAYq4ELKw,Trattoria L'incontro,Italian,"'21-76 31st St, Astoria, NY 11105'",40.77633304,-73.91058683,4.5,954,$$$,26:09.5
f8ipr8Wdy1_wHhw7JgNqPQ,Da Claudio,Italian,"'21 Ann St, New York, NY 10038'",40.71087,-74.00753,4.5,493,$$,26:09.5
xeC9vn3dxVVzAMR_aFwfXg,IL Brigante,Italian,"'214 Front St, New York, NY 10038'",40.707492,-74.002571,4,417,$$,26:09.5
zwOAiVT4pAmpNGXzj-t5MA,Lilia,Italian,"'567 Union Ave, Brooklyn, NY 11211'",40.71757,-73.95236,4,849,$$$,26:09.5
V-FCEicobl5Su-R7EVJQNA,La Lanterna Di Vittorio,Italian,"'129 MacDougal St, New York, NY 10012'",40.73069,-74.00015,4,1474,$$,26:09.5
mTWlEiCUEBlxBAkIikkB1A,Carmine's Italian Restaurant - Upper West Side,Italian,"'2450 Broadway, New York, NY 10024'",40.791077,-73.973763,4,1406,$$,26:09.5
5Akss-swwfyoSVeIsDBbvw,Basta Pasta,Italian,"'37 W 17th St, New York, NY 10011'",40.73881,-73.99407,4,1447,$$,26:09.5
MphfKkYFEe0BDQ6hZ0A5fA,Gelso & Grand,Italian,"'186 Grand St, New York, NY 10013'",40.71940895,-73.99737779,4.5,981,$$,26:09.5
b42PcC1nCP602fiXF0a9Xg,Barbalu Restaurant,Italian,"'225-227 Front St, New York, NY 10038'",40.7074747,-74.0020404,4,297,$$,26:09.5
OAqsZMbjv66nOMqlimnYuQ,Uva,Italian,"'1486 2nd Ave, New York, NY 10075'",40.7722,-73.95566,4,2422,$$,26:09.5
eMSTTuOUlKEnSOr8lPp3Xg,Ammazzacaff?,Italian,"'702 Grand St, Brooklyn, NY 11211'",40.7113172,-73.9446243,4.5,189,$$,26:09.5
